"No.","Time","Source","Destination","Protocol","Length","Info"
"2005","6.093505286","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:40368, 2.05 Content, TKN:3b 9f, Block #6, /datafile/10KB"
"2006","6.094611176","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:40369, GET, TKN:3b a0, End of Block #7, /datafile/10KB"
"2007","6.096306878","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:40369, 2.05 Content, TKN:3b a0, Block #7, /datafile/10KB"
"2008","6.097316238","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:40370, GET, TKN:3b a1, End of Block #8, /datafile/10KB"
"2009","6.098893187","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:40370, 2.05 Content, TKN:3b a1, Block #8, /datafile/10KB"
"2010","6.100444867","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:40371, GET, TKN:3b a2, End of Block #9, /datafile/10KB"
"2011","6.102176024","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:40371, 2.05 Content, TKN:3b a2, End of Block #9, /datafile/10KB"
"2012","6.104773851","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:45356, GET, TKN:81 66, /datafile/10KB"
"2013","6.107108144","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:45356, 2.05 Content, TKN:81 66, Block #0, /datafile/10KB"
"2014","6.109492456","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:45357, GET, TKN:81 67, End of Block #1, /datafile/10KB"
"2015","6.111259062","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:45357, 2.05 Content, TKN:81 67, Block #1, /datafile/10KB"
"2016","6.112405164","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:45358, GET, TKN:81 68, End of Block #2, /datafile/10KB"
"2017","6.114151180","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:45358, 2.05 Content, TKN:81 68, Block #2, /datafile/10KB"
"2018","6.115411549","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:45359, GET, TKN:81 69, End of Block #3, /datafile/10KB"
"2019","6.117150115","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:45359, 2.05 Content, TKN:81 69, Block #3, /datafile/10KB"
"2020","6.118347871","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:45360, GET, TKN:81 6a, End of Block #4, /datafile/10KB"
"2021","6.120129772","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:45360, 2.05 Content, TKN:81 6a, Block #4, /datafile/10KB"
"2022","6.121219877","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:45361, GET, TKN:81 6b, End of Block #5, /datafile/10KB"
"2023","6.122983064","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:45361, 2.05 Content, TKN:81 6b, Block #5, /datafile/10KB"
"2024","6.124230256","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:45362, GET, TKN:81 6c, End of Block #6, /datafile/10KB"
"2025","6.126000696","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:45362, 2.05 Content, TKN:81 6c, Block #6, /datafile/10KB"
"2026","6.127220993","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:45363, GET, TKN:81 6d, End of Block #7, /datafile/10KB"
"2027","6.128992790","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:45363, 2.05 Content, TKN:81 6d, Block #7, /datafile/10KB"
"2028","6.130234943","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:45364, GET, TKN:81 6e, End of Block #8, /datafile/10KB"
"2029","6.132041683","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:45364, 2.05 Content, TKN:81 6e, Block #8, /datafile/10KB"
"2030","6.133152525","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:45365, GET, TKN:81 6f, End of Block #9, /datafile/10KB"
"2031","6.135057076","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:45365, 2.05 Content, TKN:81 6f, End of Block #9, /datafile/10KB"
"2032","6.137355251","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:62468, GET, TKN:07 ac, /datafile/10KB"
"2033","6.139699742","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:62468, 2.05 Content, TKN:07 ac, Block #0, /datafile/10KB"
"2034","6.140866942","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:62469, GET, TKN:07 ad, End of Block #1, /datafile/10KB"
"2035","6.142637280","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:62469, 2.05 Content, TKN:07 ad, Block #1, /datafile/10KB"
"2036","6.143799624","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:62470, GET, TKN:07 ae, End of Block #2, /datafile/10KB"
"2037","6.145564995","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:62470, 2.05 Content, TKN:07 ae, Block #2, /datafile/10KB"
"2038","6.146759479","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:62471, GET, TKN:07 af, End of Block #3, /datafile/10KB"
"2039","6.148757640","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:62471, 2.05 Content, TKN:07 af, Block #3, /datafile/10KB"
"2040","6.150009721","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:62472, GET, TKN:07 b0, End of Block #4, /datafile/10KB"
"2041","6.151512043","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:62472, 2.05 Content, TKN:07 b0, Block #4, /datafile/10KB"
"2042","6.153196039","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:62473, GET, TKN:07 b1, End of Block #5, /datafile/10KB"
"2043","6.154945685","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:62473, 2.05 Content, TKN:07 b1, Block #5, /datafile/10KB"
"2044","6.156309945","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:62474, GET, TKN:07 b2, End of Block #6, /datafile/10KB"
"2045","6.158049733","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:62474, 2.05 Content, TKN:07 b2, Block #6, /datafile/10KB"
"2046","6.159258422","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:62475, GET, TKN:07 b3, End of Block #7, /datafile/10KB"
"2047","6.161005080","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:62475, 2.05 Content, TKN:07 b3, Block #7, /datafile/10KB"
"2048","6.162187724","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:62476, GET, TKN:07 b4, End of Block #8, /datafile/10KB"
"2049","6.163938508","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:62476, 2.05 Content, TKN:07 b4, Block #8, /datafile/10KB"
"2050","6.165326927","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:62477, GET, TKN:07 b5, End of Block #9, /datafile/10KB"
"2051","6.167091314","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:62477, 2.05 Content, TKN:07 b5, End of Block #9, /datafile/10KB"
"2052","6.169336473","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:35211, GET, TKN:b0 c1, /datafile/10KB"
"2053","6.171518532","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:35211, 2.05 Content, TKN:b0 c1, Block #0, /datafile/10KB"
"2054","6.172746750","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:35212, GET, TKN:b0 c2, End of Block #1, /datafile/10KB"
"2055","6.176061604","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:35212, 2.05 Content, TKN:b0 c2, Block #1, /datafile/10KB"
"2056","6.177216856","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:35213, GET, TKN:b0 c3, End of Block #2, /datafile/10KB"
"2057","6.178726788","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:35213, 2.05 Content, TKN:b0 c3, Block #2, /datafile/10KB"
"2058","6.179923802","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:35214, GET, TKN:b0 c4, End of Block #3, /datafile/10KB"
"2059","6.181475903","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:35214, 2.05 Content, TKN:b0 c4, Block #3, /datafile/10KB"
"2060","6.182950189","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:35215, GET, TKN:b0 c5, End of Block #4, /datafile/10KB"
"2061","6.184498593","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:35215, 2.05 Content, TKN:b0 c5, Block #4, /datafile/10KB"
"2062","6.185738009","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:35216, GET, TKN:b0 c6, End of Block #5, /datafile/10KB"
"2063","6.187210648","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:35216, 2.05 Content, TKN:b0 c6, Block #5, /datafile/10KB"
"2064","6.188490962","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:35217, GET, TKN:b0 c7, End of Block #6, /datafile/10KB"
"2065","6.189993099","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:35217, 2.05 Content, TKN:b0 c7, Block #6, /datafile/10KB"
"2066","6.191115560","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:35218, GET, TKN:b0 c8, End of Block #7, /datafile/10KB"
"2067","6.192795077","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:35218, 2.05 Content, TKN:b0 c8, Block #7, /datafile/10KB"
"2068","6.193933886","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:35219, GET, TKN:b0 c9, End of Block #8, /datafile/10KB"
"2069","6.195521527","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:35219, 2.05 Content, TKN:b0 c9, Block #8, /datafile/10KB"
"2070","6.196615563","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:35220, GET, TKN:b0 ca, End of Block #9, /datafile/10KB"
"2071","6.198297700","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:35220, 2.05 Content, TKN:b0 ca, End of Block #9, /datafile/10KB"
"2072","6.200780970","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:4803, GET, TKN:e0 b2, /datafile/10KB"
"2073","6.203166986","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:4803, 2.05 Content, TKN:e0 b2, Block #0, /datafile/10KB"
"2074","6.204357239","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:4804, GET, TKN:e0 b3, End of Block #1, /datafile/10KB"
"2075","6.206266647","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:4804, 2.05 Content, TKN:e0 b3, Block #1, /datafile/10KB"
"2076","6.207393851","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:4805, GET, TKN:e0 b4, End of Block #2, /datafile/10KB"
"2077","6.209401708","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:4805, 2.05 Content, TKN:e0 b4, Block #2, /datafile/10KB"
"2078","6.210807327","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:4806, GET, TKN:e0 b5, End of Block #3, /datafile/10KB"
"2079","6.212627888","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:4806, 2.05 Content, TKN:e0 b5, Block #3, /datafile/10KB"
"2080","6.213985003","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:4807, GET, TKN:e0 b6, End of Block #4, /datafile/10KB"
"2081","6.215712958","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:4807, 2.05 Content, TKN:e0 b6, Block #4, /datafile/10KB"
"2082","6.217082757","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:4808, GET, TKN:e0 b7, End of Block #5, /datafile/10KB"
"2083","6.218785875","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:4808, 2.05 Content, TKN:e0 b7, Block #5, /datafile/10KB"
"2084","6.220190350","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:4809, GET, TKN:e0 b8, End of Block #6, /datafile/10KB"
"2085","6.221957634","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:4809, 2.05 Content, TKN:e0 b8, Block #6, /datafile/10KB"
"2086","6.223150715","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:4810, GET, TKN:e0 b9, End of Block #7, /datafile/10KB"
"2087","6.224836059","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:4810, 2.05 Content, TKN:e0 b9, Block #7, /datafile/10KB"
"2088","6.225990278","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:4811, GET, TKN:e0 ba, End of Block #8, /datafile/10KB"
"2089","6.227851044","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:4811, 2.05 Content, TKN:e0 ba, Block #8, /datafile/10KB"
"2090","6.228946230","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:4812, GET, TKN:e0 bb, End of Block #9, /datafile/10KB"
"2091","6.230768571","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:4812, 2.05 Content, TKN:e0 bb, End of Block #9, /datafile/10KB"
"2092","6.232982753","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:51726, GET, TKN:d7 96, /datafile/10KB"
"2093","6.235467939","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:51726, 2.05 Content, TKN:d7 96, Block #0, /datafile/10KB"
"2094","6.236813890","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:51727, GET, TKN:d7 97, End of Block #1, /datafile/10KB"
"2095","6.238642456","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:51727, 2.05 Content, TKN:d7 97, Block #1, /datafile/10KB"
"2096","6.239978072","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:51728, GET, TKN:d7 98, End of Block #2, /datafile/10KB"
"2097","6.241672540","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:51728, 2.05 Content, TKN:d7 98, Block #2, /datafile/10KB"
"2098","6.242828850","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:51729, GET, TKN:d7 99, End of Block #3, /datafile/10KB"
"2099","6.244587465","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:51729, 2.05 Content, TKN:d7 99, Block #3, /datafile/10KB"
"2100","6.245782824","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:51730, GET, TKN:d7 9a, End of Block #4, /datafile/10KB"
"2101","6.247657823","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:51730, 2.05 Content, TKN:d7 9a, Block #4, /datafile/10KB"
"2102","6.248829201","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:51731, GET, TKN:d7 9b, End of Block #5, /datafile/10KB"
"2103","6.250609917","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:51731, 2.05 Content, TKN:d7 9b, Block #5, /datafile/10KB"
"2104","6.251798552","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:51732, GET, TKN:d7 9c, End of Block #6, /datafile/10KB"
"2105","6.253580824","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:51732, 2.05 Content, TKN:d7 9c, Block #6, /datafile/10KB"
"2106","6.254674616","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:51733, GET, TKN:d7 9d, End of Block #7, /datafile/10KB"
"2107","6.256444440","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:51733, 2.05 Content, TKN:d7 9d, Block #7, /datafile/10KB"
"2108","6.257646025","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:51734, GET, TKN:d7 9e, End of Block #8, /datafile/10KB"
"2109","6.259666017","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:51734, 2.05 Content, TKN:d7 9e, Block #8, /datafile/10KB"
"2110","6.261105114","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:51735, GET, TKN:d7 9f, End of Block #9, /datafile/10KB"
"2111","6.262931991","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:51735, 2.05 Content, TKN:d7 9f, End of Block #9, /datafile/10KB"
"2112","6.265594440","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:43285, GET, TKN:a3 3a, /datafile/10KB"
"2113","6.268028276","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:43285, 2.05 Content, TKN:a3 3a, Block #0, /datafile/10KB"
"2114","6.269163563","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:43286, GET, TKN:a3 3b, End of Block #1, /datafile/10KB"
"2115","6.271187726","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:43286, 2.05 Content, TKN:a3 3b, Block #1, /datafile/10KB"
"2116","6.272609320","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:43287, GET, TKN:a3 3c, End of Block #2, /datafile/10KB"
"2117","6.274236452","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:43287, 2.05 Content, TKN:a3 3c, Block #2, /datafile/10KB"
"2118","6.275344548","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:43288, GET, TKN:a3 3d, End of Block #3, /datafile/10KB"
"2119","6.277096862","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:43288, 2.05 Content, TKN:a3 3d, Block #3, /datafile/10KB"
"2120","6.278490719","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:43289, GET, TKN:a3 3e, End of Block #4, /datafile/10KB"
"2121","6.280231959","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:43289, 2.05 Content, TKN:a3 3e, Block #4, /datafile/10KB"
"2122","6.281578373","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:43290, GET, TKN:a3 3f, End of Block #5, /datafile/10KB"
"2123","6.283364204","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:43290, 2.05 Content, TKN:a3 3f, Block #5, /datafile/10KB"
"2124","6.284738858","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:43291, GET, TKN:a3 40, End of Block #6, /datafile/10KB"
"2125","6.286536558","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:43291, 2.05 Content, TKN:a3 40, Block #6, /datafile/10KB"
"2126","6.288032008","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:43292, GET, TKN:a3 41, End of Block #7, /datafile/10KB"
"2127","6.289787884","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:43292, 2.05 Content, TKN:a3 41, Block #7, /datafile/10KB"
"2128","6.290999563","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:43293, GET, TKN:a3 42, End of Block #8, /datafile/10KB"
"2129","6.292714543","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:43293, 2.05 Content, TKN:a3 42, Block #8, /datafile/10KB"
"2130","6.294286423","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:43294, GET, TKN:a3 43, End of Block #9, /datafile/10KB"
"2131","6.295936333","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:43294, 2.05 Content, TKN:a3 43, End of Block #9, /datafile/10KB"
"2132","6.298411613","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:48075, GET, TKN:3d 8a, /datafile/10KB"
"2133","6.300529918","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:48075, 2.05 Content, TKN:3d 8a, Block #0, /datafile/10KB"
"2134","6.302112902","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:48076, GET, TKN:3d 8b, End of Block #1, /datafile/10KB"
"2135","6.303918114","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:48076, 2.05 Content, TKN:3d 8b, Block #1, /datafile/10KB"
"2136","6.305193309","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:48077, GET, TKN:3d 8c, End of Block #2, /datafile/10KB"
"2137","6.306857532","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:48077, 2.05 Content, TKN:3d 8c, Block #2, /datafile/10KB"
"2138","6.307966034","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:48078, GET, TKN:3d 8d, End of Block #3, /datafile/10KB"
"2139","6.309477278","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:48078, 2.05 Content, TKN:3d 8d, Block #3, /datafile/10KB"
"2140","6.310575341","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:48079, GET, TKN:3d 8e, End of Block #4, /datafile/10KB"
"2141","6.312207767","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:48079, 2.05 Content, TKN:3d 8e, Block #4, /datafile/10KB"
"2142","6.313309934","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:48080, GET, TKN:3d 8f, End of Block #5, /datafile/10KB"
"2143","6.315008939","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:48080, 2.05 Content, TKN:3d 8f, Block #5, /datafile/10KB"
"2144","6.316342879","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:48081, GET, TKN:3d 90, End of Block #6, /datafile/10KB"
"2145","6.318293322","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:48081, 2.05 Content, TKN:3d 90, Block #6, /datafile/10KB"
"2146","6.319625220","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:48082, GET, TKN:3d 91, End of Block #7, /datafile/10KB"
"2147","6.321349034","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:48082, 2.05 Content, TKN:3d 91, Block #7, /datafile/10KB"
