"No.","Time","Source","Destination","Protocol","Length","Info"
"71","13.465932140","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:34549, GET, TKN:2f e5, /datafile/100B"
"72","13.468213439","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:34549, 2.05 Content, TKN:2f e5, /datafile/100B"
"73","13.470252543","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:27768, GET, TKN:60 35, /datafile/100B"
"74","13.472348904","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:27768, 2.05 Content, TKN:60 35, /datafile/100B"
"75","13.474524481","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:62145, GET, TKN:57 6a, /datafile/100B"
"76","13.476629935","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:62145, 2.05 Content, TKN:57 6a, /datafile/100B"
"77","13.478735651","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:36593, GET, TKN:73 ce, /datafile/100B"
"78","13.480829369","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:36593, 2.05 Content, TKN:73 ce, /datafile/100B"
"79","13.483002511","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:56254, GET, TKN:f8 ea, /datafile/100B"
"80","13.485109512","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:56254, 2.05 Content, TKN:f8 ea, /datafile/100B"
"81","13.487422586","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:46306, GET, TKN:ff 7b, /datafile/100B"
"82","13.489625562","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:46306, 2.05 Content, TKN:ff 7b, /datafile/100B"
"83","13.491763925","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:17132, GET, TKN:d1 44, /datafile/100B"
"84","13.493862927","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:17132, 2.05 Content, TKN:d1 44, /datafile/100B"
"85","13.496026575","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:14586, GET, TKN:1f ca, /datafile/100B"
"86","13.498368935","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:14586, 2.05 Content, TKN:1f ca, /datafile/100B"
"87","13.501731782","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:2180, GET, TKN:f5 1f, /datafile/100B"
"88","13.503835411","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:2180, 2.05 Content, TKN:f5 1f, /datafile/100B"
"89","13.505929303","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:52934, GET, TKN:cd 54, /datafile/100B"
"90","13.508039453","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:52934, 2.05 Content, TKN:cd 54, /datafile/100B"
"91","13.510100719","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:43883, GET, TKN:bc df, /datafile/100B"
"92","13.512202874","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:43883, 2.05 Content, TKN:bc df, /datafile/100B"
"93","13.514407141","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:62316, GET, TKN:fb 68, /datafile/100B"
"94","13.516506623","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:62316, 2.05 Content, TKN:fb 68, /datafile/100B"
"95","13.518375651","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:40262, GET, TKN:f1 1c, /datafile/100B"
"96","13.520405644","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:40262, 2.05 Content, TKN:f1 1c, /datafile/100B"
"97","13.522333298","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:62886, GET, TKN:cb 83, /datafile/100B"
"98","13.524439258","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:62886, 2.05 Content, TKN:cb 83, /datafile/100B"
"99","13.526508996","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:406, GET, TKN:19 a4, /datafile/100B"
"100","13.528731764","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:406, 2.05 Content, TKN:19 a4, /datafile/100B"
"101","13.530741101","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:9672, GET, TKN:5c 54, /datafile/100B"
"102","13.532826000","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:9672, 2.05 Content, TKN:5c 54, /datafile/100B"
"103","13.534981167","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:62949, GET, TKN:f9 dc, /datafile/100B"
"104","13.537078544","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:62949, 2.05 Content, TKN:f9 dc, /datafile/100B"
"105","13.540304539","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:47477, GET, TKN:11 85, /datafile/100B"
"106","13.542353780","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:47477, 2.05 Content, TKN:11 85, /datafile/100B"
"107","13.544793348","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:63384, GET, TKN:c9 89, /datafile/100B"
"108","13.546851787","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:63384, 2.05 Content, TKN:c9 89, /datafile/100B"
"109","13.549173515","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:55732, GET, TKN:e0 83, /datafile/100B"
"110","13.551437003","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:55732, 2.05 Content, TKN:e0 83, /datafile/100B"
"111","13.553534821","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:5981, GET, TKN:4a eb, /datafile/100B"
"112","13.555625430","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:5981, 2.05 Content, TKN:4a eb, /datafile/100B"
"113","13.557401540","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:63314, GET, TKN:aa 6d, /datafile/100B"
"114","13.559505464","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:63314, 2.05 Content, TKN:aa 6d, /datafile/100B"
"115","13.561812812","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:20057, GET, TKN:ed 64, /datafile/100B"
"116","13.564176033","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:20057, 2.05 Content, TKN:ed 64, /datafile/100B"
"117","13.566552485","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:6458, GET, TKN:8d 86, /datafile/100B"
"118","13.568619238","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:6458, 2.05 Content, TKN:8d 86, /datafile/100B"
"119","13.570948723","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:41496, GET, TKN:11 84, /datafile/100B"
"120","13.572938217","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:41496, 2.05 Content, TKN:11 84, /datafile/100B"
"121","13.575277479","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:32834, GET, TKN:d8 a6, /datafile/100B"
"122","13.577248871","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:32834, 2.05 Content, TKN:d8 a6, /datafile/100B"
"123","13.580507581","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:22369, GET, TKN:c1 b2, /datafile/100B"
"124","13.583620968","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:22369, 2.05 Content, TKN:c1 b2, /datafile/100B"
"125","13.586364348","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:31683, GET, TKN:e3 56, /datafile/100B"
"126","13.588494248","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:31683, 2.05 Content, TKN:e3 56, /datafile/100B"
"127","13.590554117","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:26635, GET, TKN:f3 5a, /datafile/100B"
"128","13.592557178","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:26635, 2.05 Content, TKN:f3 5a, /datafile/100B"
"129","13.594610008","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:6953, GET, TKN:2c b9, /datafile/100B"
